accountsservice 22.08.8-2
libxkbfile 1.1.1-1
libxklavier 5.4-3
libxml2 2.10.3-2
libxmu 1.1.4-1
libxnvctrl 520.56.06-1
libxpresent 1.0.1-1
libxrandr 1.5.2-4
libxrender 0.9.11-1
libxres 1.2.1-1
libxshmfence 1.3.1-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.11-5
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
licenses 20220125-1
lilv 0.24.20-1
linux-api-headers 5.18.15-1
linux-firmware 20220913.f09bebf-1
linux-firmware-qlogic 20220913.f09bebf-1
linux-firmware-whence 20220913.f09bebf-1
linux-zen 6.0.7.zen1-1
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lua 5.4.4-2
lv2 1.18.10-1
lvm2 2.03.16-2
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
marco 1.26.0-1
mate-applets 1.26.1-1
mate-backgrounds 1.26.0-1
mate-calc 1.26.0-1
mate-control-center 1.26.0-3
mate-desktop 1.26.0-1
mate-icon-theme 1.26.0-1
mate-icon-theme-faenza 1.20.0-2
mate-media 1.26.0-1
mate-menus 1.26.0-1
mate-netbook 1.26.0-1
mate-notification-daemon 1.26.0-1
mate-panel 1.26.2-1
mate-polkit 1.26.0-1
mate-power-manager 1.26.0-1
mate-screensaver 1.26.1-1
mate-sensors-applet 1.26.0-1
mate-session-manager 1.26.0-1
mate-settings-daemon 1.26.0-1
mate-terminal 1.26.0-1
mate-themes 3.22.23-1
mate-user-share 1.26.0-1
mate-utils 1.26.0-1
mathjax2 2.7.9-1
mdadm 4.2-2
mesa 22.2.2-1
miniupnpc 2.2.4-1
minizip 1:1.2.13-1
mkinitcpio 32-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220725-1
mod_dnssd 0.6-8
mozo 1.26.1-2
mpfr 4.1.0.p13-3
mtdev 1.1.6-2
nano 6.4-1
ncurses 6.3-3
ndctl 74-1
nettle 3.8.1-1
network-manager-applet 1.28.0-1
networkmanager 1.40.2-1
nm-connection-editor 1.28.0-1
noto-fonts 20220810-1
npth 1.6-3
nspr 4.35-1
nss 3.84-1
ocl-icd 2.3.1-1
opencore-amr 0.1.6-1
opendoas 6.8.2-1
openjpeg2 2.5.0-1
openssh 9.1p1-3
openssl 3.0.7-2
opus 1.3.1-3
orc 0.4.33-1
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-mirrorlist 20221016-1
pacutils 0.11.1-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.11-1
parted 3.5-1
paru 1.11.1-1
patch 2.7.6-8
pciutils 3.8.0-2
pcre 8.45-3
pcre2 10.40-3
perl 5.36.0-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-parse-yapp 1.21-5
perl-timedate 2.33-4
pinentry 1.2.1-1
pipewire 1:0.3.59-5
